ulcs,FCI - Overall,Repair Costs - Overall,Replacement Costs - Overall,FCI - Building,Repair Costs - Building,Replacement Costs - Building,FCI - Grounds,Repair Costs - Grounds,Replacement Costs - Grounds,System FCI - Roof (Shows physical condition of roof),Repair Costs - Roof (Shows physical condition of roof),Replacement Cost - Roof (Shows physical condition of roof),System FCI - Exterior Walls (Shows condition of the structural condition of the exterior facade),Repair Costs - Exterior Walls (Shows condition of the structural condition of the exterior facade),Replacement Cost - Exterior Walls (Shows condition of the structural condition of the exterior facade),System FCI - Windows (Shows functionality of exterior windows),Repair Costs - Windows (Shows functionality of exterior windows),Replacement Cost - Windows (Shows functionality of exterior windows),System FCI - Exterior Doors (Shows condition of exterior doors),Repair Costs - Exterior Doors (Shows condition of exterior doors),Replacement Cost - Exterior Doors (Shows condition of exterior doors),System FCI - Interior Doors (Classroom doors),Repair Costs - Interior Doors (Classroom doors),Replacement Cost - Interior Doors (Classroom doors),System FCI - Interior Walls (Paint and Finishes),Repair Costs - Interior Walls (Paint and Finishes),Replacement Cost - Interior Walls (Paint and Finishes),System FCI - Plumbing Fixtures,Repair Costs - Plumbing Fixtures,Replacement Cost - Plumbing Fixtures,System FCI - Boilers,Repair Costs - Boilers,Replacement Cost - Boilers,System FCI - Chillers/Cooling Towers,Repair Costs - Chillers/Cooling Towers,Replacement Cost - Chillers/Cooling Towers,System FCI - Radiators/Unit Ventilators/HVAC,Repair Costs - Radiators/Unit Ventilators/HVAC,Replacement Cost - Radiators/Unit Ventilators/HVAC,System FCI - Heating/Cooling Controls,Repair Costs - Heating/Cooling Controls,Replacement Cost - Heating/Cooling Controls,System FCI - Electrical Service and Distribution,Repair Costs - Electrical Service and Distribution,Replacement Cost - Electrical Service and Distribution,System FCI - Lighting,Repair Costs - Lighting,Replacement Cost - Lighting,"System FCI - Communications and Security (Cameras, Pa System and Fire Alarm)","Repair Costs - Communications and Security (Cameras, Pa System and Fire Alarm)","Replacement Cost - Communications and Security (Cameras, Pa System and Fire Alarm)"
1010,20.88%,"$49,135,274","$235,360,751",20.98 %,"$29,958,779","$142,826,034",15.13 %,"$527,553","$3,486,600",00.00 %,$0,"$3,092,583",00.00 %,$0,"$11,664,000",38.03 %,"$2,825,841","$7,430,400",02.23 %,"$6,987","$313,200",35.24 %,"$357,792","$1,015,200",19.54 %,"$886,692","$4,538,700",08.67 %,"$316,543","$3,650,400",04.17 %,"$209,960","$5,040,900",57.50 %,"$3,800,523","$6,609,600",95.25 %,"$11,056,152","$11,607,300",00.07 %,"$2,709","$3,645,000",00.00 %,$0,"$2,619,000",02.64 %,"$247,098","$9,363,600",30.73 %,"$1,077,821","$3,507,300"
1020,00.47%,"$435,672","$93,451,195",00.47 %,"$432,371","$91,742,524",00.19 %,"$3,301","$1,708,671",00.00 %,$0,"$3,745,307",00.00 %,$0,"$7,344,562",00.00 %,$0,"$4,678,758",00.00 %,$0,"$197,215",01.70 %,"$10,885","$639,249",00.00 %,$0,"$2,861,320",00.86 %,"$19,802","$2,298,576",07.27 %,"$230,830","$3,174,143",00.00 %,$0,"$4,161,918",01.23 %,"$90,223","$7,308,859",00.02 %,$361,"$2,295,176",00.00 %,$0,"$1,649,126",00.00 %,$0,"$5,896,051",00.00 %,$0,"$2,208,469"
1030,01.56%,"$1,469,479","$94,219,588",01.66 %,"$1,469,479","$88,267,786",00.00 %,$0,"$5,951,802",00.03 %,"$1,302","$3,889,762",03.69 %,"$258,290","$7,007,515",00.00 %,$0,"$4,464,047",00.00 %,$0,"$188,165",00.00 %,$0,"$609,913",00.00 %,$0,"$3,187,446",06.24 %,"$136,802","$2,193,093",00.45 %,"$13,711","$3,028,479",00.00 %,$0,"$3,970,925",01.50 %,"$104,776","$6,973,451",24.27 %,"$531,423","$2,189,849",00.00 %,$0,"$1,573,447",00.00 %,$0,"$5,625,477",11.50 %,"$242,316","$2,107,121"
1050,32.49%,"$7,080,767","$21,792,641",32.11 %,"$6,867,331","$21,384,303",37.40 %,"$213,436","$570,738",00.00 %,$0,"$755,523",00.00 %,$0,"$1,728,000",24.61 %,"$270,868","$1,100,800",333.67 %,"$154,824","$46,400",42.82 %,"$64,403","$150,400",00.00 %,$0,"$672,400",25.31 %,"$136,851","$540,800",03.57 %,"$26,678","$746,800",49.20 %,"$481,782","$979,200",105.25 %,"$1,809,952","$1,719,600",119.26 %,"$643,987","$540,000",123.41 %,"$478,827","$388,000",29.34 %,"$407,050","$1,387,200",68.04 %,"$353,534","$519,600"
1100,18.45%,"$21,393,858","$115,928,506",20.24 %,"$21,698,079","$107,206,248",04.68 %,"$201,881","$4,311,890",00.00 %,$0,"$4,422,368",00.00 %,$0,"$8,640,000",00.00 %,$0,"$5,504,000",10.30 %,"$23,890","$232,000",25.38 %,"$190,823","$752,000",02.12 %,"$71,107","$3,362,000",12.42 %,"$335,725","$2,704,000",40.66 %,"$1,518,308","$3,734,000",50.95 %,"$2,494,726","$4,896,000",76.27 %,"$6,557,761","$8,598,000",136.09 %,"$3,674,379","$2,700,000",60.01 %,"$1,164,201","$1,940,000",02.25 %,"$156,141","$6,936,000",03.15 %,"$81,791","$2,598,000"
1130,20.88%,"$49,135,274","$235,360,751",20.94 %,"$18,648,942","$89,048,117",15.13 %,"$527,553","$3,486,600",00.00 %,$0,"$1,639,976",01.25 %,"$99,345","$7,936,132",00.00 %,$0,"$3,879,242",00.00 %,$0,"$262,846",02.19 %,"$13,914","$636,268",09.31 %,"$267,233","$2,871,364",30.29 %,"$742,456","$2,450,811",00.00 %,$0,$0,50.60 %,"$2,245,253","$4,437,563",45.85 %,"$3,573,159","$7,792,926",92.95 %,"$2,274,748","$2,447,186",94.09 %,"$1,654,480","$1,758,348",04.49 %,"$282,141","$6,286,548",33.96 %,"$799,684","$2,354,736"
1190,35.57%,"$37,009,306","$104,051,510",36.07 %,"$36,451,268","$101,051,660",18.60 %,"$558,038","$2,999,850",89.48 %,"$3,719,770","$4,156,919",12.00 %,"$998,455","$8,318,200",63.61 %,"$2,586,250","$4,066,000",26.87 %,"$74,037","$275,500",105.57 %,"$704,026","$666,900",00.00 %,$0,"$3,737,300",14.39 %,"$369,595","$2,568,800",00.00 %,$0,"$3,547,300",10.54 %,"$490,305","$4,651,200",88.15 %,"$7,200,032","$8,168,100",132.71 %,"$3,404,129","$2,565,000",93.17 %,"$1,717,050","$1,843,000",27.61 %,"$1,818,961","$6,589,200",57.63 %,"$1,422,396","$2,468,100"
1200,00.01%,"$5,666","$49,951,636",00.01 %,"$5,666","$49,849,042",00.00 %,$0,"$104,580",00.00 %,$0,"$1,400,821",00.00 %,$0,"$3,664,683",00.00 %,$0,"$1,788,159",00.00 %,$0,"$143,966",00.00 %,$0,"$348,497",00.00 %,$0,"$1,669,014",00.00 %,$0,"$1,342,360",00.00 %,$0,"$1,853,688",00.00 %,$0,"$2,430,546",00.00 %,$0,"$4,268,348",00.00 %,$0,"$1,340,375",00.00 %,$0,"$963,084",00.16 %,"$5,666","$3,443,273",00.00 %,$0,"$1,289,738"
1230,39.77%,"$19,187,219","$48,248,991",39.73 %,"$18,796,497","$47,304,730",22.84 %,"$390,722","$1,710,391",43.82 %,"$515,848","$1,177,237",00.00 %,$0,"$3,478,214",53.52 %,"$908,306","$1,697,172",10.23 %,"$13,975","$136,641",90.06 %,"$297,878","$330,765",14.42 %,"$143,070","$992,295",12.86 %,"$163,835","$1,274,057",00.00 %,$0,"$1,759,367",40.73 %,"$939,475","$2,306,873",54.85 %,"$2,222,243","$4,051,163",158.51 %,"$2,016,494","$1,272,173",87.28 %,"$797,786","$914,080",07.19 %,"$235,117","$3,268,070",32.51 %,"$397,964","$1,224,113"
1250-1,38.17%,"$11,844,538","$31,030,542",39.69 %,"$11,753,769","$29,611,273",06.40 %,"$90,769","$1,419,269",00.00 %,$0,"$714,320",00.00 %,$0,"$2,122,325",71.63 %,"$741,817","$1,035,575",04.19 %,"$3,494","$83,375",13.79 %,"$27,828","$201,825",10.20 %,"$98,521","$966,000",02.63 %,"$20,455","$777,400",109.34 %,"$1,173,786","$1,073,525",47.92 %,"$674,495","$1,407,600",105.29 %,"$2,602,715","$2,471,925",159.14 %,"$1,235,301","$776,250",157.08 %,"$876,127","$557,750",46.12 %,"$919,626","$1,994,100",32.45 %,"$242,370","$746,925"
