101,John Bartram High School,ALL GRADES,100%,,,
102,West Philadelphia High School,ALL GRADES,100%,,,
103,High School of the Future,ALL GRADES,100%,,,
105,Paul Robeson High School for Human Services,ALL GRADES,100%,,,
110,William L. Sayre High School,ALL GRADES,100%,,,
113,William T. Tilden School,ALL GRADES,100%,,,
119,Motivation High School,ALL GRADES,100%,,,
120,John Barry School,ALL GRADES,100%,,,
123,William C. Bryant School,ALL GRADES,100%,,,
125,Joseph W. Catharine School,ALL GRADES,100%,,,
126,Benjamin B. Comegys School,ALL GRADES,100%,,,
128,Sadie Alexander School,ALL GRADES,39%,,,
129,Andrew Hamilton School,ALL GRADES,100%,,,
130,Avery D. Harrington School,ALL GRADES,100%,,,
133,Samuel B. Huey School,ALL GRADES,100%,,,
134,Henry C. Lea School,ALL GRADES,100%,,,
135,William C. Longstreth School,ALL GRADES,100%,,,
136,Morton McMichael School,ALL GRADES,100%,,,
137,S. Weir Mitchell School,ALL GRADES,100%,,,
138,Thomas G. Morton School,ALL GRADES,100%,,,
139,Samuel Powel School,ALL GRADES,87%,,,
140,John M. Patterson School,ALL GRADES,100%,,,
141,James Rhoads School,ALL GRADES,100%,,,
142,Martha Washington School,ALL GRADES,100%,,,
144,Penrose School,ALL GRADES,100%,,,
146,Add B. Anderson School,ALL GRADES,100%,,,
147,Alain Locke School,ALL GRADES,100%,,,
149,Rudolph Blankenburg School,ALL GRADES,100%,,,
158,Middle Years Alternative School,ALL GRADES,100%,,,
200,South Philadelphia High School,ALL GRADES,100%,,,
201,Benjamin Franklin High School,ALL GRADES,100%,,,
202,High School for Creative and Performing Arts School,ALL GRADES,67%,,,
214,Julia R. Masterman School,ALL GRADES,39%,,,
216,Furness High School,ALL GRADES,100%,,,
219,D. Newlin Fell School,ALL GRADES,100%,,,
221,Bache-Martin School,ALL GRADES,90%,,,
224,F. Amedee Bregy School,ALL GRADES,100%,,,
226,George W. Childs School,ALL GRADES,100%,,,
229,Franklin Learning Center,ALL GRADES,90%,,,
232,Stephen Girard School,ALL GRADES,100%,,,
234,General George A. McCall School,ALL GRADES,81%,,,
237,Delaplaine McDaniel School,ALL GRADES,100%,,,
238,William M. Meredith School,ALL GRADES,28%,,,
239,Robert Morris School,ALL GRADES,100%,,,
241,Girard Academic Music Program,ALL GRADES,50%,,,
245,Edwin M. Stanton School,ALL GRADES,100%,,,
247,Albert M. Greenfield School,ALL GRADES,28%,,,
