Outlet ID #,Sample Location,Sample Collection Date,Test Result (ppb),Test Results
4280-01-DW-004,In Room 101,7/21/2016,12.6,BA
4280-01-DW-009,Outside Room 103 - right,7/21/2016,151,AA
4280-01-WC-018,Outside Main Office,7/21/2016,0.99,BA
4280-02-DW-038,Outside Room 207 - Left,7/21/2016,3.3,BA
4280-02-DW-039,Outside Room 207 - Right,7/21/2016,4.2,BA
4280-02-DW-053,In Gym - on the hallway wall,7/21/2016,16.4,AA
4280-02-DW-054,In Gym - outside of Boy's Room,7/21/2016,11.9,BA
4280-02-DW-060,In Lunchroom,7/21/2016,4.9,BA
4280-02-WC-067,Outside Room 203,7/21/2016,3.0,BA
4280-01-WC-070,Element 2 - Left side - comprehensive day care room,7/21/2016,0.26,BA
4280-01-WC-073,Element 2 - Right side - comprehensive day care room,7/21/2016,0.23,BA
4280-01-WC-086,Element 4 - portable 2 - outside of bathrooms,7/21/2016,1.4,BA
4280-01-WC-090,Principal's office - bottled water dispenser - Hot side,7/21/2016,0.054,BA
4280-01-WC-091,Principal's office - bottled water dispenser - Cold side,7/21/2016,0.054,BA
