Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
5140- 01-WC-002,Cluster Office,5/13/2016,<3.00,BA
5140- 01-WC-003,Outside 102B,5/13/2016,<3.00,BA
5140- 01-WC-004,Outside 104,5/13/2016,<3.00,BA
5140- 02-WC-005,Outside 207,5/13/2016,4.50,BA
5140- 02-WC-006,Outside 204B,5/13/2016,6.13,BA
5140- 02-WC-007,Outside 202,5/13/2016,<3.00,BA
5140- 03-WC-008,Outside 302,5/13/2016,<3.00,BA
5140- 03-WC-009,Outside 304,5/13/2016,<3.00,BA
5140- 03-WC-010,Outside 308,5/13/2016,<3.00,BA
5140- 03-WC-011,Up steps from Girl's Room,5/13/2016,<3.00,BA
5140- 04-WC-012,Outside 410,5/13/2016,<3.00,BA
5140- 04-WC-013,Outside 406,5/13/2016,<3.00,BA
5140- 04-WC-014,Outside 402,5/13/2016,5.21,BA
5140- 05-WC-015,Outside 502,5/13/2016,<3.00,BA
5140- 05-WC-026,Teachers office,5/13/2016,<3.00,BA
5140-05-WC-027,Outside Room 504A,5/13/2016,<3.00,BA
