Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
5470-01-DW-003,Room 110,8/19/2016,20.9,AA
5470-01-DW-006,Room 108,8/19/2016,141,AA
5470-01-DW-009,Room 106,8/19/2016,37.9,AA
5470-01-WC-018,Main Office,8/19/2016,1.7,BA
5470-01-WC-019,Cafeteria,8/19/2016,2.9,BA
5470-01-WC-024,Kitchen - Next to Hand Sink,8/19/2016,4.9,BA
5470-01-DW-037,Gym,8/19/2016,5.0,BA
5470-01-DW-046,Room 13B Classroom,8/19/2016,4.3,BA
5470-01-DW-050,Room 109,8/19/2016,189,AA
5470-01-DW-054,Room 111,8/19/2016,36.9,AA
5470-01-DW-058,Room 113,8/19/2016,11.5,BA
5470-02-DW-066,Room 211,8/19/2016,5.8,BA
5470-02-DW-068,Room 209,8/19/2016,1.3,BA
5470-02-DW-070,Room 207,8/19/2016,13.6,BA
5470-02-DW-074,Room 201,8/19/2016,16.2,AA
5470-02-DW-077,Room 200,8/19/2016,0.90,ND
5470-02-DW-080,Room 204,8/19/2016,1.7,BA
5470-02-DW-082,Room 206,8/19/2016,10.8,BA
5470-02-DW-084,Room 208,8/19/2016,20.6,AA
5470-02-DW-086,Room 210,8/19/2016,0.64,ND
5470-03-DW-096,Room 311,8/19/2016,2.3,BA
5470-03-DW-098,Room 309,8/19/2016,18.6,AA
5470-03-DW-100,Room 307,8/19/2016,2.1,BA
5470-03-DW-102,Room 305,8/19/2016,5.4,BA
5470-03-DW-104,Room 301,8/19/2016,116,AA
5470-03-DW-106,Room 300,8/19/2016,3.5,BA
5470-03-DW-108,Room 304,8/19/2016,12.1,BA
5470-03-DW-110,Room 306,8/19/2016,26.8,AA
5470-03-DW-112,Room 308,8/19/2016,12.5,BA
5470-03-DW-114,Room 310,8/19/2016,9.3,BA
