Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
8410-01-WC-010,In cafeteria - near exit to parking lot - left,8/5/2016,1.2,BA
8410-01-WC-011,In cafeteria - near exit to parking lot - right,8/5/2016,5.8,BA
8410-01-DW-012,In cafeteria - near cafeteria exit - left (center is no longer),8/5/2016,2.6,BA
8410-01-DW-014,In cafeteria - near cafeteria exit - right (center is no longer),8/5/2016,2.1,BA
8410-01-WC-015,Across from Room 10,8/5/2016,0.16,BA
8410-01-WC-020,Across from Room 17,8/5/2016,7.7,BA
8410-01-WC-036,Outside boy's room,8/5/2016,2.8,BA
8410-02-DW-040,Room 100,8/5/2016,7.9,BA
8410-02-DW-045,Room 101,8/5/2016,9.1,BA
8410-02-WC-049,Across from Room 105,8/5/2016,3.4,BA
8410-02-WC-059,Across from Main Office,8/5/2016,35.0,AA
8410-02-DW-063,In Gymnasium,8/5/2016,9.8,BA
8410-02-WC-067,Outside Room 111,8/5/2016,0.34,BA
8410-02-WC-072,Across from Room 119,8/5/2016,0.64,BA
8410-01-WC-077,Element 2 - Portable Building - Room 005,8/5/2016,0.88,BA
8410-01-WC-079,Element 2 - Room 006M Bright Futures area (middle room),8/5/2016,0.54,BA
8410-01-WC-085,Element 2 - Room 007,8/5/2016,0.46,BA
