School Name (ULCS),Street Address,City,State,Coordinates,Zip Code,ULCS Code,Councilmanic District & Rep,Year Built,School Type,Managed,Planning Area,Police District,Total # of Students,Facility Condition Index [FCI],Condition Assessment Cost [CAC],Replacement Cost [CRV],American Indian/Alaskan Native (Not Hispanic) - Count,American Indian/Alaskan Native (Not Hispanic) - Percentage,Asian (not Hispanic) - Count,Asian (not Hispanic) - Percentage,Black/African American (not Hispanic) - Count,Black/African American (not Hispanic) - Percentage,Hispanic (any race) - Count,Hispanic (any race) - Percentage,Multi-Race/Two or more races (not Hispanic) - Count,Multi-Race/Two or more races (not Hispanic) - Percentage,Native Hawaiian or other Pacific Islander (not Hispanic) - Count,Native Hawaiian or other Pacific Islander (not Hispanic) - Percentage,White (not Hispanic) - Count,White (not Hispanic) - Percentage,CEP Economically Disadvantaged Rate,Sq. Ft. (Building),Sq. Ft. (Site),Sq. Ft. (Footprint),Capacity,# Floors,Special Needs - Count,Special Needs - Percentage,Avg Daily Attendance,10+ Absences
"BARTRAM, JOHN HIGH SCHOOL",2401 S. 67TH ST.,PHILADELPHIA,PA,"-75.233836,39.921931",19142,1010,2 - Johnson,1939,High School,District,Southwest,12th District,710,0.45,42949319,95850000,,,,,660,93%,,,,,,,,,100%,270000,262761,81472,1706,4,187,26%,83%,69%
WEST PHILADELPHIA HIGH SCHOOL,4901 CHESTNUT ST.,PHILADELPHIA,PA,"-75.219906,39.959002",19139,1020,3 - Blackwell,2012,High School,District,Southwest,18th District,538,0,0,60354615,,,,,520,97%,,,,,,,,,100%,170013,205744,98917,965,,162,30%,77%,80%
HIGH SCHOOL OF THE FUTURE,4021 PARKSIDE AVE.,PHILADELPHIA,PA,"-75.203354,39.975296",19104,1030,4 - Jones Jr.,2006,High School,District,West,16th District,518,0,0,57510000,,,,,462,89%,35,7%,,,,,,,100%,162000,716427,102755,859,2,127,25%,92%,47%
"ROBESON, PAUL HIGH SCHOOL",4125 LUDLOW ST.,PHILADELPHIA,PA,"-75.205701,39.956968",19104,1050,3 - Blackwell,1960,High School,District,Southwest,18th District,294,0.11,1631017,14200000,,,,,275,94%,,,,,,,,,100%,40000,39075,19945,387,2,49,17%,91%,55%
"SAYRE, WILLIAM L. HIGH SCHOOL",5800 WALNUT ST.,PHILADELPHIA,PA,"-75.238645,39.95756",19139,1100,3 - Blackwell,1950,High School,District,West,18th District,511,0.23,16451615,71000000,,,,,487,95%,,,,,,,,,100%,200000,352282,115687,1631,2,152,30%,79%,76%
TILDEN MIDDLE SCHOOL,6601 ELMWOOD AVE.,PHILADELPHIA,PA,"-75.232451,39.92147",19142,1130,2 - Johnson,1927,Middle School,District,Southwest,12th District,470,0.65,40255696,61995366,,,40,9%,404,86%,,,,,,,,,100%,181273,262761,42923,1197,5,84,18%,88%,62%
MOTIVATION HIGH SCHOOL,5900 BALTIMORE AVE.,PHILADELPHIA,PA,"-75.247612,39.906578",19143,1190,2 - Johnson,1910,High School,District,Southwest,12th District,344,0.51,7782062,15165245,,,,,311,90%,,,,,,,,,100%,42719,34764,10532,185,2,23,7%,96%,14%
"BARRY, JOHN ELEMENTARY SCHOOL",5900 RACE ST.,PHILADELPHIA,PA,"-75.238544,39.964322",19139,1200,4 - Jones Jr.,2008,Elementary School,District,West,19th District,757,0,0,32963284,,,,,738,97%,,,,,,,,,100%,99287,43237,31665,894,4,62,8%,92%,48%
"BRYANT, WILLIAM C. SCHOOL",6001 CEDAR AVE.,PHILADELPHIA,PA,"-75.243686,39.952946",19143,1230,3 - Blackwell,1903,Elementary School,District,West,18th District,478,0.45,14105249,31286020,,,,,452,95%,,,,,,,,,100%,94235,112375,30250,894,3,67,14%,90%,53%
"CATHARINE, JOSEPH SCHOOL",6600 CHESTER AVE.,PHILADELPHIA,PA,"-75.239793,39.927281",19142,1250,2 - Johnson,1937,Elementary School,District,Southwest,12th District,619,0.56,10613608,19090000,,,71,11%,460,74%,24,4%,56,9%,,,,,100%,57500,85326,18826,676,3,54,9%,94%,40%
"COMEGYS, BENJAMIN B. SCHOOL",5100 GREENWAY AVE.,PHILADELPHIA,PA,"-75.216407,39.940865",19143,1260,3 - Blackwell,1911,Elementary School,District,Southwest,12th District,577,0.6629162309,15547910,23453808,,,,,520,90%,,,20,3%,,,29,5%,100%,70644,90156,36665,596,2,50,9%,92%,53%
PENN ALEXANDER SCHOOL,4209 SPRUCE ST.,PHILADELPHIA,PA,"-75.208126,39.952688",19104,1280,3 - Blackwell,2002,Elementary School,District,Southwest,18th District,557,0.02,437439,28006524,,,101,18%,127,23%,37,7%,66,12%,,,221,40%,39%,84357,125429,31140,815,4,24,4%,97%,15%
"HAMILTON, ANDREW SCHOOL",5640 SPRUCE ST.,PHILADELPHIA,PA,"-75.23548,39.955187",19139,1290,3 - Blackwell,1970,Elementary School,District,West,18th District,581,0.63,18794026,29714000,,,,,519,89%,,,39,7%,,,,,100%,89500,95504,33413,696,3,108,19%,93%,42%
"HARRINGTON, AVERY D. SCHOOL",5300 BALTIMORE AVE.,PHILADELPHIA,PA,"-75.23026,39.94746",19143,1300,3 - Blackwell,1927,Elementary School,District,Southwest,12th District,554,0.6,13323050,22078000,,,,,507,92%,,,30,5%,,,,,100%,66500,70677,24728,616,3,82,15%,93%,43%
"HUEY, SAMUEL B. SCHOOL",5200 PINE ST.,PHILADELPHIA,PA,"-75.227158,39.953423",19143,1330,3 - Blackwell,1964,Elementary School,District,West,18th District,532,0.48,13963286,29276756,,,,,498,94%,,,26,5%,,,,,100%,88183,69937,27697,795,4,69,13%,90%,57%
"LEA, HENRY C.",4700 LOCUST ST.,PHILADELPHIA,PA,"-75.216616,39.954129",19139,1340,3 - Blackwell,1914,Elementary School,District,Southwest,18th District,545,0.76,17754231,23240000,,,43,8%,426,78%,,,45,8%,,,23,4%,100%,70000,87310,22546,716,3,89,16%,93%,42%
"LONGSTRETH, WILLIAM C. SCHOOL",5700 WILLOWS AVE.,PHILADELPHIA,PA,"-75.232661,39.940391",19143,1350,3 - Blackwell,1971,Elementary School,District,Southwest,12th District,533,0.24,6862449,28336200,,,,,500,94%,,,22,4%,,,,,100%,85350,90475,35474,735,3,44,8%,91%,51%
"MC MICHAEL, MORTON SCHOOL",3543 FAIRMOUNT AVE.,PHILADELPHIA,PA,"-75.194309,39.96659",19104,1360,3 - Blackwell,1963,Elementary School,District,,,395,0.62,20.7,,,,,,346,88%,,,33,8%,,,,,100%,,,,,,109,28%,,
MITCHELL ELEMENTARY SCHOOL,5500 KINGSESSING AVE.,PHILADELPHIA,PA,"-75.223267,39.936777",19143,1370,3 - Blackwell,1916,Elementary School,District,Southwest,12th District,684,0.79,23577575,29880000,,,,,644,94%,,,22,3%,,,,,100%,90000,115574,35117,696,3,49,7%,92%,47%
"MORTON, THOMAS G. SCHOOL",2501 S. 63RD ST.,PHILADELPHIA,PA,"-75.226927,39.923943",19142,1380,2 - Johnson,1971,Elementary School,District,Southwest,12th District,707,0.55,15957835,28884000,,,36,5%,597,84%,,,41,6%,,,,,100%,87000,49129,27966,795,3,78,11%,93%,43%
"POWEL, SAMUEL SCHOOL",301 N. 36TH ST.,PHILADELPHIA,PA,"-75.193626,39.960313",19104,1390,3 - Blackwell,1961,Elementary School,District,Southwest,16th District,293,0.44,2619454,5976000,,,,,218,74%,,,34,12%,,,27,9%,87%,18000,53876,9833,199,2,27,9%,,
"PATTERSON, JOHN M. SCHOOL",7001 BUIST AVE.,PHILADELPHIA,PA,"-75.236933,39.916319",19142,1400,2 - Johnson,1921,Elementary School,District,Southwest,12th District,656,0.71,17211854,24194832,,,37,6%,552,84%,,,46,7%,,,,,100%,72876,66398,20861,696,3,33,5%,,
"RHOADS, JAMES SCHOOL",4901 PARRISH ST.,PHILADELPHIA,PA,"-75.219725,39.967409",19139,1410,3 - Blackwell,1960,Elementary School,District,West,16th District,495,0.48,11126702,23240000,,,,,459,93%,,,25,5%,,,,,100%,70000,64692,25316,676,4,55,11%,91%,60%
"WASHINGTON, MARTHA SCHOOL",766 N. 44TH ST.,PHILADELPHIA,PA,"-75.211378,39.966026",19104,1420,3 - Blackwell,1930,Elementary School,District,West,16th District,443,0.57,13562742,23671600,,,,,382,86%,,,51,12%,,,,,100%,71300,136444,25710,815,4,98,22%,93%,48%
PENROSE SCHOOL,2515 S. 78TH ST.,PHILADELPHIA,PA,"-75.248329,39.907459",19153,1440,2 - Johnson,1971,Elementary School,District,Southwest,12th District,617,0.43,7058325,16228824,,,20,3%,503,82%,,,72,12%,,,,,100%,48882,181274,40122,716,2,125,20%,94%,38%
"ANDERSON, ADD B. SCHOOL",1034 S. 60TH ST.,PHILADELPHIA,PA,"-75.245036,39.9469",19143,1460,3 - Blackwell,1963,Elementary School,District,West,18th District,549,0.61,13745277,22654020,,,,,504,92%,,,24,4%,,,,,100%,68235,95423,30822,616,3,66,12%,92%,49%
"LOCKE, ALAIN SCHOOL",4550 HAVERFORD AVE.,PHILADELPHIA,PA,"-75.212487,39.961928",19139,1470,3 - Blackwell,1964,Elementary School,District,Southwest,16th District,466,0.36,9262248,25564000,,,25,5%,371,80%,,,49,11%,,,,,100%,77000,188286,51351,676,3,52,11%,91%,58%
"BLANKENBURG, RUDOLPH SCHOOL",4600 W. GIRARD AVE.,PHILADELPHIA,PA,"-75.215151,39.972537",19131,1490,3 - Blackwell,1925,Elementary School,District,West,16th District,505,0.57,12189623,21248000,,,,,472,93%,,,21,4%,,,,,100%,64000,139199,21082,596,3,93,18%,91%,51%
MYA-MIDDLE YEARS ALTERNATIVE,4725 FAIRMOUNT AVE.,PHILADELPHIA,PA,"-75.215794,39.964433",19139,1580,3 - Blackwell,1924,Middle School,District,West,16th District,239,0.32,13049592,41040000,,,25,10%,197,82%,,,,,,,,,100%,120000,96473,53549,1202,,25,10%,95%,31%
SOUTH PHILADELPHIA H.S.,2101 S. BROAD ST.,PHILADELPHIA,PA,"-75.168795,39.923608",19148,2000,1 - Squilla,1957,High School,District,South-Central,3rd District,710,0.2254,26521680,117661200,,,122,17%,416,59%,93,13%,,,,,66,9%,100%,331440,198234,105021,2498,5,219,31%,80%,69%
"FRANKLIN, BENJAMIN HIGH SCHOOL",550 N. BROAD ST.,PHILADELPHIA,PA,"-75.161933,39.963517",19130,2010,5 - Clarke,1958,High School,District,South-Central,9th District,643,0.35,30152788,86014015,,,32,5%,541,84%,49,8%,,,,,,,100%,242293,74265,68374,1556,7,189,29%,80%,72%
CREATIVE AND PERFORMING ARTS,901 S. BROAD ST.,PHILADELPHIA,PA,"-75.165293,39.939333",19147,2020,1 - Squilla,1997,High School,District,South-Central,3rd District,711,0.011,662033,59153650,,,31,4%,386,54%,78,11%,51,7%,,,165,23%,67%,166630,120999,51128,890,3,57,8%,94%,41%
"MASTERMAN,JULIA R. HIGH SCHOOL",1699 SPRING GARDEN ST.,PHILADELPHIA,PA,"-75.165763,39.963405",19130,2140,5 - Clarke,1933,Middle School,District,South-Central,9th District,1189,0.4699,16874274,35910000,,,332,28%,215,18%,57,5%,111,9%,,,473,40%,39%,105000,32573,26099,806,6,20,2%,98%,13%
"FURNESS, HORACE HIGH SCHOOL",1900 S. 3RD ST.,PHILADELPHIA,PA,"-75.150851,39.923765",19148,2160,1 - Squilla,1912,High School,District,South-Central,3rd District,671,0.538,27710340,51475000,,,312,46%,153,23%,122,18%,,,,,71,11%,100%,145000,99997,47653,1240,3,97,14%,88%,52%
"FELL, D. NEWLIN SCHOOL",900 W. OREGON AVE.,PHILADELPHIA,PA,"-75.163406,39.915348",19148,2190,2 - Johnson,1924,Elementary School,District,South-Central,3rd District,559,0.543,10993878,20252000,,,224,40%,72,13%,96,17%,39,7%,,,127,23%,100%,61000,50600,19945,556,3,44,8%,94%,38%
BACHE-MARTIN SCHOOL,2201 BROWN ST.,PHILADELPHIA,PA,"-75.174451,39.970173",19130,2210,5 - Clarke,1906,Elementary School,District,South-Central,9th District,448,0.745,11199690,15039600,,,,,279,62%,40,9%,61,14%,,,60,13%,90%,45300,23713,14053,894,3,126,28%,95%,34%
"BREGY, F. AMEDEE SCHOOL",1700 BIGLER ST.,PHILADELPHIA,PA,"-75.176728,39.914449",19145,2240,2 - Johnson,1923,Elementary School,District,South-Central,1st District,442,0.776,16996752,21912000,,,,,266,60%,20,5%,75,17%,,,60,14%,100%,66000,115131,21037,616,3,93,21%,93%,46%
"CHILDS, GEORGE W. SCHOOL",1599 WHARTON ST.,PHILADELPHIA,PA,"-75.170439,39.934875",19146,2260,2 - Johnson,1927,Elementary School,District,South-Central,17th District,596,0.489,22407453,45828000,,,137,23%,319,54%,87,15%,41,7%,,,,,100%,134000,76313,41285,1176,3,93,16%,93%,44%
FRANKLIN LEARNING CENTER,616 N. 15TH ST.,PHILADELPHIA,PA,"-75.16336,39.965046",19130,2290,5 - Clarke,1908,High School,District,South-Central,9th District,873,0.441,23515052,53250000,,,100,11%,441,51%,201,23%,27,3%,,,104,12%,90%,150000,79092,43405,963,5,54,6%,91%,48%
"GIRARD, STEPHEN SCHOOL",1800 SNYDER AVE.,PHILADELPHIA,PA,"-75.177014,39.924533",19145,2320,2 - Johnson,1959,Elementary School,District,South-Central,1st District,604,0.3785,8380358,22139420,,,123,20%,375,62%,34,6%,46,8%,,,25,4%,100%,66685,81512,25765,497,3,57,9%,,
"MC CALL, GEN. GEORGE A. SCHOOL",325 S. 7TH ST.,PHILADELPHIA,PA,"-75.152597,39.944528",19106,2340,1 - Squilla,1909,Elementary School,District,South-Central,6th District,704,0.7107,16063219,22601232,,,392,56%,92,13%,26,4%,58,8%,,,135,19%,81%,68076,91114,33507,596,3,56,8%,97%,17%
