"BARTRAM, JOHN HIGH SCHOOL",2401 S. 67TH ST.,PHILADELPHIA               ,PA,19142,1010,2 - Johnson,1939,High School,710,45%,$43.0
WEST PHILADELPHIA HIGH SCHOOL,4901 CHESTNUT ST.,PHILADELPHIA               ,PA,19139,1020,3 - Blackwell,2012,High School,538,0%,$0
HIGH SCHOOL OF THE FUTURE,4021 PARKSIDE AVE.,PHILADELPHIA               ,PA,19104,1030,4 - Jones Jr.,2006,High School,518,0%,$0
"ROBESON, PAUL HIGH SCHOOL",4125 LUDLOW ST.,PHILADELPHIA               ,PA,19104,1050,3 - Blackwell,1960,High School,294,11%,$1.6
"SAYRE, WILLIAM L. HIGH SCHOOL",5800 WALNUT ST.,PHILADELPHIA               ,PA,19139,1100,3 - Blackwell,1950,High School,511,23%,$16.5
TILDEN MIDDLE SCHOOL,6601 ELMWOOD AVE.,PHILADELPHIA               ,PA,19142,1130,2 - Johnson,1927,Middle School,470,65%,$40.3
MOTIVATION HIGH SCHOOL,5900 BALTIMORE AVE.,PHILADELPHIA               ,PA,19143,1190,2 - Johnson,1910,High School,344,51%,$7.8
"BARRY, JOHN ELEMENTARY SCHOOL",5900 RACE ST.,PHILADELPHIA               ,PA,19139,1200,4 - Jones Jr.,2008,Elementary School,757,0%,$0
"BRYANT, WILLIAM C. SCHOOL",6001 CEDAR AVE.,PHILADELPHIA               ,PA,19143,1230,3 - Blackwell,1903,Elementary School,478,45%,$14.1
"CATHARINE, JOSEPH SCHOOL",6600 CHESTER AVE.,PHILADELPHIA               ,PA,19142,1250,2 - Johnson,1937,Elementary School,619,56%,$10.6
"COMEGYS, BENJAMIN B. SCHOOL",5100 GREENWAY AVE.,PHILADELPHIA               ,PA,19143,1260,3 - Blackwell,1911,Elementary School,577,66%,$15.6
PENN ALEXANDER SCHOOL,4209 SPRUCE ST.,PHILADELPHIA               ,PA,19104,1280,3 - Blackwell,2002,Elementary School,557,2%,$0.4
"HAMILTON, ANDREW SCHOOL",5640 SPRUCE ST.,PHILADELPHIA               ,PA,19139,1290,3 - Blackwell,1970,Elementary School,581,63%,$18.8
"HARRINGTON, AVERY D. SCHOOL",5300 BALTIMORE AVE.,PHILADELPHIA               ,PA,19143,1300,3 - Blackwell,1927,Elementary School,554,60%,$13.3
"HUEY, SAMUEL B. SCHOOL",5200 PINE ST.,PHILADELPHIA               ,PA,19143,1330,3 - Blackwell,1964,Elementary School,532,48%,$14.0
"LEA, HENRY C.",4700 LOCUST ST.,PHILADELPHIA               ,PA,19139,1340,3 - Blackwell,1914,Elementary School,545,76%,$17.8
"LONGSTRETH, WILLIAM C. SCHOOL",5700 WILLOWS AVE.,PHILADELPHIA               ,PA,19143,1350,3 - Blackwell,1971,Elementary School,533,24%,$6.9
"MC MICHAEL, MORTON SCHOOL",3543 FAIRMOUNT AVE.,PHILADELPHIA               ,PA,19104,1360,3 - Blackwell,1963,Elementary School,395,62%,$20.7
MITCHELL ELEMENTARY SCHOOL,5500 KINGSESSING AVE.,PHILADELPHIA               ,PA,19143,1370,3 - Blackwell,1916,Elementary School,684,79%,$23.6
"MORTON, THOMAS G. SCHOOL",2501 S. 63RD ST.,PHILADELPHIA               ,PA,19142,1380,2 - Johnson,1971,Elementary School,707,55%,$16.0
"POWEL, SAMUEL SCHOOL",301 N. 36TH ST.,PHILADELPHIA               ,PA,19104,1390,3 - Blackwell,1961,Elementary School,293,44%,$2.6
"PATTERSON, JOHN M. SCHOOL",7001 BUIST AVE.,PHILADELPHIA               ,PA,19142,1400,2 - Johnson,1921,Elementary School,656,71%,$17.2
"RHOADS, JAMES SCHOOL",4901 PARRISH ST.,PHILADELPHIA               ,PA,19139,1410,3 - Blackwell,1960,Elementary School,495,48%,$11.1
