Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
7300-00-DW-007,Outside Girl's Room - left,9/29/2016,16.9,AA
7300-00-DW-009,Outside Girls Room - right,9/29/2016,3.0,BA
7300-00-DW-021,Outside Boy's Room - Left,9/29/2016,5.1,BA
7300-00-DW-022,Outside Boy's Room,9/29/2016,3.1,BA
7300-00-DW-023,Outside Boy's Room,9/29/2016,1.9,BA
7300-00-DW-025,Outside Boy's Room,9/29/2016,2.6,BA
7300-00-DW-026,Outside Boy's Room - Right,9/29/2016,0.92,BA
7300-01-WC-037,Outside Room 107,9/29/2016,0.64,BA
7300-01-WC-044,Outside IMC,9/29/2016,4.2,BA
7300-01-DW-049,Room 102,9/29/2016,8.0,BA
7300-01-WC-050,Room 101,9/29/2016,0.64,BA
7300-02-WC-058,Outside of Room 204,9/29/2016,6.1,BA
7300-02-WC-059,Outside of Room 207,9/29/2016,0.99,BA
7300-03-WC-065,Outside of Room 307,9/29/2016,0.75,BA
7300-03-WC-068,Outside of Room 304,9/29/2016,0.91,BA
