ULCS,School Name,Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
1470,Locke ES,1470-03-WC-007,Outside girl's room,7/28/2016,0.59,BA
1470,Locke ES,1470-03-WC-011,Outside boy's room,7/28/2016,3,BA
1470,Locke ES,1470-02-WC-015,Across from Room 207,7/28/2016,0.64,BA
1470,Locke ES,1470-02-WC-025,Across from Room 209,7/28/2016,3.1,BA
1470,Locke ES,1470-01-WC-034,Outside boy's room,7/28/2016,5.5,BA
1470,Locke ES,1470-01-DW-053,Room 117,7/28/2016,3.1,BA
1470,Locke ES,1470-01-WC-057,In main entrance area - near auditorium,7/28/2016,0.48,BA
1470,Locke ES,1470-01-DW-063,Gymnasium,7/28/2016,18.5,AA
1490,Blankenburg,1490-00-DW-002,Outside Building Engineer's office - Left,8/11/2016,0.89,BA
1490,Blankenburg,1490-00-DW-003,Outside Building Engineer's office - Center,8/11/2016,2.4,BA
1490,Blankenburg,1490-00-DW-004,Outside Building Engineer's office - Right,8/11/2016,3,BA
1490,Blankenburg,1490-00-DW-007,Across from Gym - Left - near Room 027,8/11/2016,5.8,BA
1490,Blankenburg,1490-00-DW-009,Across From Gym - Right - near Room 027,8/11/2016,3.6,BA
1490,Blankenburg,1490-00-DW-010,Across from Gym - Left - Near Room 030,8/11/2016,2.2,BA
1490,Blankenburg,1490-00-DW-012,Across from Gym - Right - Near Room 030,8/11/2016,2.1,BA
1490,Blankenburg,1490-00-DW-013,Across from IMC Room 003B - left,8/11/2016,9.5,BA
1490,Blankenburg,1490-00-DW-015,Across from IMC Room 003B - right,8/11/2016,3.6,BA
1490,Blankenburg,1490-01-WC-016,Outside Room 003,8/11/2016,0.59,BA
1490,Blankenburg,1490-01-DW-024,In Room 004 (K-4),8/11/2016,1.3,BA
1490,Blankenburg,1490-01-WC-028,Outside Room 005,8/11/2016,6.2,BA
1490,Blankenburg,1490-02-DW-032,Outside Room 014,8/11/2016,3.5,BA
1490,Blankenburg,1490-02-DW-038,Outside Room 010,8/11/2016,0.95,BA
1490,Blankenburg,1490-03-DW-047,Outside Room 018,8/11/2016,3,BA
1490,Blankenburg,1490-02-DW-051,Outside Room 026,8/11/2016,2.9,BA
1490,Blankenburg,1490-00-DW-078N,Day Care Room 027,8/11/2016,0.81,BA
1490,Blankenburg,1490-00-DW-079N,Day Care Room 029,8/11/2016,3.3,BA
2010,Ben Franklin HS,2010-00-DW-006,Center of Lobby Area - Left - Used by Day Care,8/18/2016,7.4,BA
2010,Ben Franklin HS,2010-00-DW-007,Center of Lobby Area - Right - Used by Day Care,8/18/2016,6.9,BA
2010,Ben Franklin HS,2010-01-DW-015,Outside Room 100,8/18/2016,5.4,BA
2010,Ben Franklin HS,2010-01-DW-021,Gymnasium - East End,8/18/2016,2.4,BA
2010,Ben Franklin HS,2010-01-DW-031,Outside Room 115 - Left,8/18/2016,12.5,BA
2010,Ben Franklin HS,2010-01-DW-032,Outside Room 115 - Right,8/18/2016,36,AA
2010,Ben Franklin HS,2010-02-DW-041,Outside Room 211 - Left,8/18/2016,13.1,BA
2010,Ben Franklin HS,2010-02-DW-042,Outside Room 211 - Right,8/18/2016,10.9,BA
2010,Ben Franklin HS,2010-02-DW-045,Outside Room 203 - Left (right side has been removed),8/18/2016,5.8,BA
2010,Ben Franklin HS,2010-03-DW-050,Outside Room 305 - Right (left side has been removed),8/18/2016,12,BA
2010,Ben Franklin HS,2010-03-DW-051,Outside Room 317,8/18/2016,15.2,AA
2010,Ben Franklin HS,2010-03-DW-053,Outside Room 321 - Right (left side has been removed),8/18/2016,28.1,AA
2010,Ben Franklin HS,2010-04-DW-054,Outside Room 414,8/18/2016,13.2,BA
2010,Ben Franklin HS,2010-04-DW-056,Outside Room 406,8/18/2016,7.6,BA
2010,Ben Franklin HS,2010-04-DW-057,Across from Room 403,8/18/2016,6.9,BA
2010,Ben Franklin HS,2010-05-DW-060,Outside Room 505,8/18/2016,7.4,BA
2010,Ben Franklin HS,2010-05-DW-061,Across From Room 503,8/18/2016,16.6,AA
2010,Ben Franklin HS,2010-06-DW-062,Cafeteria - Kitchen end of room,8/18/2016,16.2,AA
2010,Ben Franklin HS,2010-06-WC-074,Cafeteria - Elevator end of room - facing kitchen,8/18/2016,15.2,AA
2010,Ben Franklin HS,2010-06-DW-077,Teachers Lounge - Left,8/18/2016,32.8,AA
2010,Ben Franklin HS,2010-00-DW-296N,Across from Room 7C - left,8/18/2016,7.9,BA
2010,Ben Franklin HS,2010-00-DW-297N,Across from Room 7C - right,8/18/2016,5.4,BA
2010,Ben Franklin HS,2010-00-DW-298N,Across from Room 13,8/18/2016,16,AA
2010,Ben Franklin HS,2010-00-DW-299N,Outside of Room 17 - left,8/18/2016,19.7,AA
2010,Ben Franklin HS,2010-00-DW-300N,Outside of Room 17 - right,8/18/2016,8.7,BA
2010,Ben Franklin HS,2010-03-DW-301N,Across from Room 303,8/18/2016,12.9,BA
2010,Ben Franklin HS,2010-05-DW-302N,Across From Room 508,8/18/2016,56.1,AA
2010,Ben Franklin HS,2010-06-DW-303N,In the cafeteria - on the far wall past the kitchen,8/18/2016,22.1,AA
2010,Ben Franklin HS,2010-01-DW-304N,On the west side of the gym,8/18/2016,5.8,BA
2010,Ben Franklin HS,2010-01-DW-305N,Basement - outside of Room 5D,8/18/2016,36,AA
2010,Ben Franklin HS,2010-01-HS-032,Outside Room 115 - Right,9/1/2016,0.054,BA
2010,Ben Franklin HS,2010-03-DW-051,Outside Room 317,9/1/2016,0.18,BA
2010,Ben Franklin HS,2010-03-HS-053,Outside Room 321 - Right (left side has been removed),9/1/2016,21.4,AA
2010,Ben Franklin HS,2010-05-DW-061,Across From Room 503,9/1/2016,43,AA
2010,Ben Franklin HS,2010-06-DW-062,Cafeteria - Kitchen end of room,9/1/2016,276,AA
2010,Ben Franklin HS,2010-06-WC-074,Cafeteria - Elevator end of room - facing kitchen,9/1/2016,74.1,AA
2010,Ben Franklin HS,2010-00-DW-298N,Across from Room 13,9/1/2016,18.2,AA
2010,Ben Franklin HS,2010-00-DW-299N,Outside of Room 17 - left,9/1/2016,19.9,AA
2010,Ben Franklin HS,2010-05-HS-302N,Across From Room 508,9/1/2016,0.057,BA
2010,Ben Franklin HS,2010-06-HS-303N,In the cafeteria - on the far wall past the kitchen,9/1/2016,0.11,BA
2010,Ben Franklin HS,2010-01-HS-305N,Basement - outside of Room 5D,9/1/2016,0.054,BA
2210,Bache Martin ES,2210 - 00 - DW - 013,Basement lunch room,7/28/2016,3.8,BA
2210,Bache Martin ES,2210 - 01 - WC - 023,1st Floor Hallway - between Rooms 4 & 5,7/28/2016,0.16,BA
2210,Bache Martin ES,2210 - 01 - WC - 025,1st Floor Teachers Lounge,7/28/2016,0.52,BA
2210,Bache Martin ES,2210 - 02 - WC - 029,2nd Floor Hallway - Across from Room 17,7/28/2016,0.47,BA
