Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
1400-03-HS-003,Outside Room 303 - near girl's room,10/6/2016,<0.054,BA
1400-02-HS-006,Outside Room 203 - near girl's room,10/6/2016,<0.054,BA
1400-01-HS-015,Outside Room 103,10/6/2016,<0.054,BA
1400-01-DW-021,Room 103,10/6/2016,3.6,BA
1400-00-DW-031,Outside Girls Room - left,10/6/2016,0.62,BA
1400-00-DW-033,Café Room 3 - Left,10/6/2016,3.4,BA
1400-00-DW-037,Café Room 3 - Right,10/6/2016,1.7,BA
1400-00-DW-040,Outside Girls Room - Right,10/6/2016,0.83,BA
1400-01-DW-054,Across from Room 108 - outside Boy's Room,10/6/2016,7.5,BA
1400-02-DW-057,Across from Room 208 - outisde Boy's Room,10/6/2016,12.3,BA
1400-03-DW-059,Across from Room 308 - outside Boy's Room,10/6/2016,2.2,BA
1400-02-WC-062,Teacher's Lounge - Room 210,10/6/2016,0.18,BA
1400-00-DW-066,Outside Boy's Room - Left,10/6/2016,1.8,BA
1400-00-DW-067,Outside Boy's Room - Right,10/6/2016,3.3,BA
1400-01-DW-068,Room 108,10/6/2016,2.4,BA
1400-01-DW-069,Room 109,10/6/2016,1.9,BA
1400-01-DW-070,Room 110,10/6/2016,0.76,BA
