2010-01-HS-032,Outside Room 115 - Right,9/1/2016,0.054,BA
2010-03-DW-051,Outside Room 317,9/1/2016,0.18,BA
2010-03-HS-053,Outside Room 321 - Right (left side has been removed),9/1/2016,21.4,AA
2010-05-DW-061,Across From Room 503,9/1/2016,43.0,AA
2010-06-DW-062,Cafeteria - Kitchen end of room,9/1/2016,276,AA
2010-06-WC-074,Cafeteria - Elevator end of room - facing kitchen,9/1/2016,74.1,AA
2010-00-DW-298N,Across from Room 13,9/1/2016,18.2,AA
2010-00-DW-299N,Outside of Room 17 - left,9/1/2016,19.9,AA
2010-05-HS-302N,Across From Room 508,9/1/2016,0.057,BA
2010-06-HS-303N,In the cafeteria - on the far wall past the kitchen,9/1/2016,0.11,BA
2010-01-HS-305N,Basement - outside of Room 5D,9/1/2016,0.054,BA
