Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
2590-04-WC-001,Outside Room 402,10/21/2016,0.67,BA
2590-04-HS-007,Outside Library Room 407,10/21/2016,<0.074,BA
2590-01-HS-028,Outside Room 106,10/21/2016,<0.074,BA
2590-01-DW-029,Room 106,10/21/2016,2.4,BA
2590-01-DW-038,Room 103,10/21/2016,39.9,AA
2590-01-DW-042,Outside Room 102,10/21/2016,1.4,BA
2590-02-DW-045,Outside Room 202,10/21/2016,1.1,BA
2590-02-DW-055,Outside Room 207,10/21/2016,1.4,BA
2590-03-DW-058,Outside Room 302,10/21/2016,0.96,BA
2590-03-HS-064,Outside Room 307,10/21/2016,<0.074,BA
2590-01-DW-078,Room 104,10/21/2016,2.4,BA
2590-01-DW-079,Room 105,10/21/2016,3.2,BA
2590-00-DW-085,Outside Boy's Room - Left,10/21/2016,0.78,BA
2590-00-DW-086,Outside Boy's Room,10/21/2016,2.0,BA
2590-00-DW-087,Outside Boy's Room,10/21/2016,1.7,BA
2590-00-DW-088,Outside Boy's Room,10/21/2016,1.4,BA
2590-00-DW-089,Outside Boy's Room,10/21/2016,0.61,BA
2590-00-DW-090,Outside Boy's Room - Right,10/21/2016,0.57,BA
2590-00-DW-091,Outside Girl's Room - Left,10/21/2016,2.7,BA
2590-00-DW-092,Outside Girl's Room,10/21/2016,2.2,BA
2590-00-DW-093,Outside Girl's Room,10/21/2016,2.5,BA
2590-00-DW-094,Outside Girl's Room,10/21/2016,5.7,BA
2590-00-DW-095,Outside Girl's Room,10/21/2016,2.2,BA
2590-00-DW-096,Outside Girl's Room - Right,10/21/2016,1.8,BA
