Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
5400-00-DW-007,Outside Girl's Room - Left,10/20/2016,2.7,BA
5400-00-DW-008,Outside Girl's Room,10/20/2016,1.3,BA
5400-00-DW-009,Outside Girl's Room,10/20/2016,1.7,BA
5400-00-DW-010,Outside Girl's Room,10/20/2016,1.5,BA
5400-00-DW-011,Outside Girl's Room,,1.1,BA
5400-00-DW-012,Outside Girl's Room,10/20/2016,3.3,BA
5400-00-DW-017,Outside Girls Room - Right,10/20/2016,2.0,BA
5400-00-DW-018,Outside Boy's Room - Left,10/20/2016,1.0,BA
5400-00-DW-019,Outside Boy's Room,10/20/2016,2.0,BA
5400-00-DW-020,Outside Boy's Room,10/20/2016,1.4,BA
5400-00-DW-021,Outside Boy's Room,10/20/2016,1.4,BA
5400-00-DW-022,Outside Boys Room - Right,10/20/2016,1.8,BA
5400-01-WC-026,Outside Room 107,10/20/2016,0.47,BA
5400-01-DW-031,Room 109,10/20/2016,7.2,BA
5400-01-HS-033,Outside Room 102,10/20/2016,<0.054,BA
5400-02-HS-034,Outside Room 202,10/20/2016,<0.054,BA
5400-02-WC-043,Outside Room 207,10/20/2016,1.3,BA
5400-03-WC-044,Outside Room 307,10/20/2016,0.58,BA
5400-03-HS-052,Outside Room 302,10/20/2016,<0.054,BA
