Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
7260-00-DW-001,Gym - Left,10/8/2016,1.9,BA
7260-00-DW-002,Gym - Right,10/8/2016,1.5,BA
7260-01-HS-004,Outside Rooms 108 and 109,10/8/2016,0.095,BA
7260-01-DW-006,Across from Room 107 - Left,10/8/2016,1.7,BA
7260-01-DW-007,Across from Room 107  - Right,10/8/2016,1.3,BA
7260-01-HS-008,Across from Main Office,10/8/2016,<0.054,BA
7260-01-WC-011,Outside Rooms 100 and 101,10/8/2016,9.4,BA
7260-02-WC-013,Outside IMC,10/8/2016,2.1,BA
7260-02-HS-014,Across from 204,10/8/2016,<0.054,BA
7260-02-DW-017,Across from 208 - Right,10/8/2016,1.6,BA
7260-02-DW-020,Ouside Boys Room - Right,10/8/2016,1.1,BA
